study.name,year,group.name,n,d.pair,t.pair,df.pair,mdif.pair,sdif,stder.pair,mpre,sdpre,mpos,sdpos,r.prepos,rev.sign,rev.group,autoreg,post,control,outcome,time,control_type,measure
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,79.84,13.74,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,78.31,13.41,NA,NA,NA,NA,3,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,81.46,13.9,NA,NA,NA,NA,4,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,60.17,17.58,67.08,21.45,NA,NA,NA,NA,1,TRUE,1,1,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,60.17,17.58,56.62,22.29,NA,NA,NA,NA,2,TRUE,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,60.17,17.58,62.46,18.97,NA,NA,NA,NA,3,TRUE,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,60.17,17.58,58.92,16.16,NA,NA,NA,NA,4,TRUE,1,4,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitc_Yng_Cmrn,2005,NA,19,NA,NA,NA,NA,NA,NA,82.21,7.03,84.79,8.92,NA,NA,NA,NA,1,NA,1,3,1,1
Bitc_Yng_Cmrn,2005,NA,19,NA,NA,NA,NA,NA,NA,91.64,8.66,91.5,11.22,NA,NA,NA,NA,1,NA,2,3,1,2
Bitc_Yng_Cmrn,2005,NA,19,NA,NA,NA,NA,NA,NA,63,37.22,83.93,14.4,NA,NA,NA,NA,1,NA,3,3,1,3
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,83.71,10.56,75.79,10.09,NA,NA,NA,NA,1,NA,1,3,1,1
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,81.07,18.49,77.86,15.91,NA,NA,NA,NA,1,NA,2,3,1,2
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,69.29,30.6,61.93,17.57,NA,NA,NA,NA,1,NA,3,3,1,3
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,80.31,10.64,77.38,7.97,NA,NA,NA,NA,1,TRUE,1,3,1,1
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,75.69,17.14,82.92,11.17,NA,NA,NA,NA,1,TRUE,2,3,1,2
Bitc_Yng_Cmrn,2005,NA,17,NA,NA,NA,NA,NA,NA,55.31,29.15,47.62,25.45,NA,NA,NA,NA,1,TRUE,3,3,1,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonilla.etal,2018,NA,29,NA,NA,NA,NA,NA,NA,0.39,0.25,0.18,0.16,NA,TRUE,NA,NA,1,NA,1,1,2,1
Bonilla.etal,2018,NA,29,NA,NA,NA,NA,NA,NA,0.39,0.25,0.13,0.13,NA,TRUE,NA,NA,2,NA,1,3,2,1
Bonilla.etal,2018,NA,28,NA,NA,NA,NA,NA,NA,0.33,0.24,0.21,0.2,NA,TRUE,NA,NA,1,NA,1,1,2,1
Bonilla.etal,2018,NA,28,NA,NA,NA,NA,NA,NA,0.33,0.24,0.22,0.14,NA,TRUE,NA,NA,2,NA,1,3,2,1
Bonilla.etal,2018,NA,27,NA,NA,NA,NA,NA,NA,0.31,0.26,0.36,0.21,NA,TRUE,NA,NA,1,TRUE,1,1,2,1
Bonilla.etal,2018,NA,27,NA,NA,NA,NA,NA,NA,0.31,0.26,0.39,0.2,NA,TRUE,NA,NA,2,TRUE,1,3,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,21.83,14.44,13.46,10.87,NA,TRUE,NA,NA,1,NA,1,2,1,1
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,21.83,14.44,21.49,14.41,NA,TRUE,NA,NA,2,NA,1,2,1,1
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,15.13,8.76,13.64,8.58,NA,TRUE,NA,NA,1,NA,2,2,1,2
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,15.13,8.76,14.74,11.14,NA,TRUE,NA,NA,2,NA,2,2,1,2
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,6.2,6.35,6.35,4.3,NA,TRUE,NA,NA,1,NA,3,2,1,3
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,6.2,6.35,7.76,6.09,NA,TRUE,NA,NA,2,NA,3,2,1,3
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,6.4,4.38,4.95,5.31,NA,TRUE,NA,NA,1,NA,4,2,1,4
Brown,2017,NA,41,NA,NA,NA,NA,NA,NA,6.4,4.38,4.71,4.57,NA,TRUE,NA,NA,2,NA,4,2,1,4
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,22,14.29,13.43,9.56,NA,TRUE,NA,NA,1,NA,1,2,1,1
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,22,14.29,20.98,15.95,NA,TRUE,NA,NA,2,NA,1,2,1,1
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,13.67,8.18,16.95,11.03,NA,TRUE,NA,NA,1,NA,2,2,1,2
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,13.67,8.18,11.65,7.45,NA,TRUE,NA,NA,2,NA,2,2,1,2
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,6.5,4.63,7.19,6.01,NA,TRUE,NA,NA,1,NA,3,2,1,3
Brown,2017,NA,44,NA,NA,NA,NA,NA,NA,6.5,4.63,4.15,3.88,NA,TRUE,NA,NA,2,NA,3,2,1,3
