study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Brown,3,42,20.3,14.62,18.58,11.55,1,TRUE,1,1,5
Brown,3,42,20.3,14.62,22.62,14.23,2,TRUE,1,2,5
Brown,3,42,17.62,11.93,19.94,10.23,1,TRUE,2,1,5
Brown,3,42,17.62,11.93,17.46,10.08,2,TRUE,2,2,5
Brown,3,42,5.58,4.76,7.85,6.53,1,TRUE,3,1,5
Brown,3,42,5.58,4.76,5.87,4.92,2,TRUE,3,2,5
Brown,3,42,6.37,7.05,5.62,4.75,1,TRUE,4,1,5
Brown,3,42,6.37,7.05,4.45,4.39,2,TRUE,4,2,5
Diab_a,1,20,0.31,0.39,0.02,0.06,1,FALSE,1,0,3
Diab_a,1,20,0.31,0.39,0.05,0.08,2,FALSE,1,9,3
Diab_a,1,20,3.54,1.21,1.38,0.89,1,FALSE,2,0,3
Diab_a,1,20,3.54,1.21,1.38,0.55,2,FALSE,2,9,3
Diab_a,2,19,0.16,0.27,0.12,0.19,1,FALSE,1,0,3
Diab_a,2,19,0.16,0.27,0.03,0.06,2,FALSE,1,9,3
Diab_a,2,19,2.85,1.99,1.22,0.43,1,FALSE,2,0,3
Diab_a,2,19,2.85,1.99,1.94,1.12,2,FALSE,2,9,3
Diab_a,3,18,0.23,0.39,0.07,0.12,1,TRUE,1,0,3
Diab_a,3,18,0.23,0.39,0.06,0.09,2,TRUE,1,9,3
Diab_a,3,18,3.08,1.57,1.53,0.64,1,TRUE,2,0,3
Diab_a,3,18,3.08,1.57,1.93,0.61,2,TRUE,2,9,3
Diab_b,1,21,0.21,0.28,0.22,0.44,1,FALSE,1,0,1
Diab_b,1,21,0.21,0.28,0.08,0.11,2,FALSE,1,8,1
Diab_b,1,21,1.61,1.5,0.87,0.82,1,FALSE,2,0,1
Diab_b,1,21,1.61,1.5,1.97,1.04,2,FALSE,2,8,1
Diab_b,2,16,0.12,0.25,0.15,9.24,1,TRUE,1,0,1
Diab_b,2,16,0.12,0.25,0.08,0.11,2,TRUE,1,8,1
Diab_b,2,16,1.13,0.92,0.62,0.43,1,TRUE,2,0,1
Diab_b,2,16,1.13,0.92,0.84,0.55,2,TRUE,2,8,1
Dlsk_Krlr,1,73,81.6,10.8,83.1,11.1,1,FALSE,1,1,2
Dlsk_Krlr,1,66,85.7,13.7,88.8,10.5,1,FALSE,2,1,2
Dlsk_Krlr,2,72,81.4,10.9,85,8.1,1,FALSE,1,1,2
Dlsk_Krlr,2,61,90.4,8.2,91.2,7.6,1,FALSE,2,1,2
Dlsk_Krlr,3,80,80.5,11.2,80.8,10.7,1,TRUE,1,1,2
Dlsk_Krlr,3,74,90.3,6.6,89.6,6.3,1,TRUE,2,1,2
Eki_diGnro,1,22,0.457,0.22,0.62,0.21,1,FALSE,1,0,3
Eki_diGnro,1,22,0.457,0.22,0.601,0.18,2,FALSE,1,6,3
Eki_diGnro,2,23,0.484,0.17,0.533,0.23,1,FALSE,1,0,3
Eki_diGnro,2,23,0.484,0.17,0.57,0.24,2,FALSE,1,6,3
Eki_diGnro,3,18,0.497,0.22,0.65,0.18,1,TRUE,1,0,3
Eki_diGnro,3,18,0.497,0.22,0.637,0.23,2,TRUE,1,6,3
Elis_Sh_Mur_Tak,1,11,0.734,0.076,0.822,0.15,1,FALSE,1,0,3
Elis_Sh_Mur_Tak,1,11,0.734,0.076,0.899,0.076,2,FALSE,1,4,3
Elis_Sh_Mur_Tak,2,13,0.623,0.153,0.829,0.155,1,FALSE,1,0,3
