study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Tanveer.etal,3,10,10.683,3.8566,13.141,5.13784,1,TRUE,1,0,1
Tanveer.etal,3,10,10.683,3.8566,16.65,8.03396,2,TRUE,1,2,1
Trscott_Hsu,1,21,0.0799,0.0367,0.113,0.0472,1,FALSE,1,1,3
Trscott_Hsu,2,26,0.0763,0.0389,0.1095,0.0537,1,TRUE,1,1,3
VanBe_Jng_Ken,1,15,1.63,0.76,1.12,0.74,1,FALSE,1,1,1
VanBe_Jng_Ken,2,15,1.15,0.53,1.43,0.78,1,FALSE,1,1,1
VanBe_Jng_Ken,3,19,1.21,0.56,1.32,0.75,1,TRUE,1,1,1
VanBe_Jng_Ken,1,15,1.63,0.76,1.12,0.74,1,FALSE,2,1,1
VanBe_Jng_Ken,2,15,1.15,0.53,1.43,0.78,1,FALSE,2,1,1
VanBe_Jng_Ken,3,13,1.53,0.69,1.9,0.59,1,TRUE,2,1,1
VanBe_Jng_Ken,1,18,1.55,0.79,1.11,0.6,1,FALSE,3,1,1
VanBe_Jng_Ken,2,17,1.24,0.53,1.29,0.43,1,FALSE,3,1,1
VanBe_Jng_Ken,3,17,1.19,0.6,1.41,0.59,1,TRUE,3,1,1
VanBe_Jng_Ken,1,18,1.55,0.79,1.11,0.6,1,FALSE,4,1,1
VanBe_Jng_Ken,2,17,1.24,0.53,1.29,0.43,1,FALSE,4,1,1
VanBe_Jng_Ken,3,14,1.67,0.45,1.76,0.91,1,TRUE,4,1,1
VanBe_Jng_KenA,1,35,0.55,0.31,0.49,0.33,1,FALSE,1,1,1
VanBe_Jng_KenA,1,35,0.55,0.31,0.39,0.26,2,FALSE,1,4,1
VanBe_Jng_KenA,2,33,0.47,0.33,0.51,0.27,1,FALSE,1,1,1
VanBe_Jng_KenA,2,33,0.47,0.33,0.49,0.32,2,FALSE,1,4,1
VanBe_Jng_KenA,3,34,0.53,0.32,0.64,0.41,1,TRUE,1,1,1
VanBe_Jng_KenA,3,34,0.53,0.32,0.6,0.39,2,TRUE,1,4,1
VanBe_Jng_KenA,1,34,0.55,0.31,0.49,0.33,1,FALSE,2,1,1
VanBe_Jng_KenA,1,34,0.55,0.31,0.39,0.26,2,FALSE,2,4,1
VanBe_Jng_KenA,2,31,0.47,0.33,0.51,0.27,1,FALSE,2,1,1
VanBe_Jng_KenA,2,31,0.47,0.33,0.49,0.32,2,FALSE,2,4,1
VanBe_Jng_KenA,3,33,0.52,0.36,0.69,0.44,1,TRUE,2,1,1
VanBe_Jng_KenA,3,33,0.52,0.36,0.72,0.46,2,TRUE,2,4,1
VanBe_Jng_KenB,1,32,0.43,0.27,0.32,0.22,1,FALSE,1,1,1
VanBe_Jng_KenB,1,32,0.43,0.27,0.39,0.34,2,FALSE,1,4,1
VanBe_Jng_KenB,2,29,0.3,0.24,0.36,0.27,1,FALSE,1,1,1
VanBe_Jng_KenB,2,29,0.3,0.24,0.37,0.22,2,FALSE,1,4,1
VanBe_Jng_KenB,3,37,0.37,0.25,0.42,0.3,1,TRUE,1,1,1
VanBe_Jng_KenB,3,37,0.37,0.25,0.46,0.33,2,TRUE,1,4,1
VanBe_Jng_KenB,1,32,0.43,0.27,0.32,0.22,1,FALSE,2,1,1
VanBe_Jng_KenB,1,32,0.43,0.27,0.39,0.34,2,FALSE,2,4,1
VanBe_Jng_KenB,2,29,0.3,0.24,0.36,0.27,1,FALSE,2,1,1
VanBe_Jng_KenB,2,29,0.3,0.24,0.37,0.22,2,FALSE,2,4,1
VanBe_Jng_KenB,3,36,0.37,0.27,0.44,0.23,1,TRUE,2,1,1
VanBe_Jng_KenB,3,36,0.37,0.27,0.45,0.23,2,TRUE,2,4,1
Wagner,1,21,2.1,2.6,1.2,1.6,1,FALSE,1,1,3
Wagner,2,19,2,2.9,2,2.7,1,TRUE,1,1,3
Wang,1,35,16.5,10.98,6.1,5.91,1,FALSE,1,1,3
Wang,2,35,18.2,14.08,6.5,7.84,1,FALSE,1,1,3
Wang,3,35,11,13.45,5.6,10.76,1,TRUE,1,1,3
Yu_Cheng,1,31,76.03,14.16,76.45,15.52,1,FALSE,1,0,3
Yu_Cheng,1,31,76.03,14.16,82,11.28,2,FALSE,1,2,3
Yu_Cheng,2,29,84.24,11.4,78.31,11.24,1,TRUE,1,0,3
Yu_Cheng,2,29,84.24,11.4,85.34,9.72,2,TRUE,1,2,3
Zhang,1,30,5.17,1.577,6.97,1.402,1,FALSE,1,1,2
Zhang,1,30,5.17,1.577,6.73,1.081,2,FALSE,1,3,2
Zhang,2,30,5.07,1.552,5.73,1.388,1,TRUE,1,1,2
Zhang,2,30,5.07,1.552,5.67,1.155,2,TRUE,1,3,2
